Category,Resume
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 8 years experience. B.Tech CSE 2017."
Data Analyst,"Business Data Analyst with 4 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2023. Delivered actionable insights to stakeholders through reports and dashboards."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 2 years experience. B.Tech IT 2022."
Java Developer,"Java Developer with 7 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2016. Built enterprise-level backend systems."
SQL Developer,"SQL Developer with 1 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2018."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 7 years experience. B.Tech IT 2017."
Web Developer,"Full Stack Web Developer with 8 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2021. Built scalable web applications and RESTful APIs."
Data Analyst,"Business Data Analyst with 3 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2018. Delivered actionable insights to stakeholders through reports and dashboards."
Web Developer,"Full Stack Web Developer with 8 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2016. Built scalable web applications and RESTful APIs."
SQL Developer,"Database Developer and Administrator. Skills: SQL, MySQL, Oracle, PostgreSQL, MongoDB, ETL, Data Warehousing, Stored Procedures, Indexing, Query Optimization, Power BI, Excel. 8 years. MCA 2023."
Data Science,"Data Scientist with 4 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2022. Experience in building end-to-end ML pipelines and deploying models to production."
Android Developer,"Android Developer with 8 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2023. Published multiple apps on Google Play Store."
DevOps Engineer,"DevOps Engineer with 8 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2016. Automated infrastructure and deployment pipelines."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 6 years experience. B.Tech 2023."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 2 years experience. B.Tech CSE 2019."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 1 years experience. B.Tech CSE 2023."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 4 years experience. B.Tech CSE 2022."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 8 years experience. B.Tech IT 2020."
Machine Learning Engineer,"ML Engineer with 4 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2017. Designed and deployed ML models at scale."
SQL Developer,"Database Developer and Administrator. Skills: SQL, MySQL, Oracle, PostgreSQL, MongoDB, ETL, Data Warehousing, Stored Procedures, Indexing, Query Optimization, Power BI, Excel. 7 years. MCA 2020."
Data Science,"Experienced Data Scientist with 2 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2021. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 2 years experience. B.Tech IT 2021."
Data Analyst,"Data Analyst with 8 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2023. Analyzed large datasets and created dashboards for business insights."
Web Developer,"Full Stack Web Developer with 3 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2016. Built scalable web applications and RESTful APIs."
Data Science,"Data Scientist with 1 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2019. Experience in building end-to-end ML pipelines and deploying models to production."
DevOps Engineer,"DevOps Engineer with 7 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2019. Automated infrastructure and deployment pipelines."
Machine Learning Engineer,"ML Engineer with 6 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2019. Designed and deployed ML models at scale."
Testing,"QA Engineer with 3 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2019."
Python Developer,"Python Developer with 7 years experience. Python, Django, Flask, FastAPI, REST API, SQL, PostgreSQL, MongoDB, Redis, Docker, AWS, Git, Celery, NumPy, Pandas. B.Tech CSE 2016. Built and maintained scalable Python applications."
Testing,"Software Test Engineer. Skills: Selenium, Python, Java, TestNG, API Testing, Postman, JIRA, Git, Agile, Performance Testing, JMeter, Manual Testing. 4 years. B.Tech IT 2021."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 8 years experience. B.Tech CSE 2022."
Python Developer,"Python Developer with 8 years experience. Python, Django, Flask, FastAPI, REST API, SQL, PostgreSQL, MongoDB, Redis, Docker, AWS, Git, Celery, NumPy, Pandas. B.Tech CSE 2017. Built and maintained scalable Python applications."
SQL Developer,"SQL Developer with 7 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2016."
Data Analyst,"Data Analyst with 7 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2022. Analyzed large datasets and created dashboards for business insights."
Android Developer,"Android Developer with 4 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2021. Published multiple apps on Google Play Store."
Data Analyst,"Business Data Analyst with 4 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2017. Delivered actionable insights to stakeholders through reports and dashboards."
SQL Developer,"SQL Developer with 6 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2019."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 1 years experience. B.Tech IT 2017."
Data Analyst,"Data Analyst with 5 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2017. Analyzed large datasets and created dashboards for business insights."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 7 years experience. B.Tech IT 2023."
Web Developer,"Frontend Developer with 2 years experience. Skills: HTML, CSS, JavaScript, TypeScript, React, Angular, Vue, Bootstrap, Tailwind, jQuery, Git, GitHub, Webpack, REST API, Node.js, MongoDB. B.Tech Computer Science 2016. Designed responsive and user-friendly web interfaces."
Data Analyst,"Data Analyst with 3 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2015. Analyzed large datasets and created dashboards for business insights."
Java Developer,"Java Developer with 3 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2015. Built enterprise-level backend systems."
SQL Developer,"Database Developer and Administrator. Skills: SQL, MySQL, Oracle, PostgreSQL, MongoDB, ETL, Data Warehousing, Stored Procedures, Indexing, Query Optimization, Power BI, Excel. 7 years. MCA 2021."
Web Developer,"Full Stack Web Developer with 5 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2019. Built scalable web applications and RESTful APIs."
SQL Developer,"Database Developer and Administrator. Skills: SQL, MySQL, Oracle, PostgreSQL, MongoDB, ETL, Data Warehousing, Stored Procedures, Indexing, Query Optimization, Power BI, Excel. 7 years. MCA 2017."
Data Analyst,"Business Data Analyst with 6 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2015. Delivered actionable insights to stakeholders through reports and dashboards."
Machine Learning Engineer,"ML Engineer with 4 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2015. Designed and deployed ML models at scale."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 6 years experience. MCA 2015."
Java Developer,"Java Developer with 2 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2015. Built enterprise-level backend systems."
DevOps Engineer,"DevOps Engineer with 8 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2019. Automated infrastructure and deployment pipelines."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 1 years experience. B.Tech IT 2015."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 3 years experience. B.Tech IT 2015."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 4 years experience. B.Tech IT 2021."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 2 years experience. B.Tech IT 2015."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 4 years experience. B.Tech IT 2021."
Data Analyst,"Business Data Analyst with 6 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2020. Delivered actionable insights to stakeholders through reports and dashboards."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 3 years experience. B.Tech 2017."
Java Developer,"Java Developer with 5 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2015. Built enterprise-level backend systems."
SQL Developer,"SQL Developer with 7 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2019."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 5 years experience. MCA 2023."
Data Analyst,"Data Analyst with 6 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2021. Analyzed large datasets and created dashboards for business insights."
SQL Developer,"SQL Developer with 2 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2023."
Python Developer,"Python Developer with 8 years experience. Python, Django, Flask, FastAPI, REST API, SQL, PostgreSQL, MongoDB, Redis, Docker, AWS, Git, Celery, NumPy, Pandas. B.Tech CSE 2015. Built and maintained scalable Python applications."
SQL Developer,"SQL Developer with 6 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2016."
Android Developer,"Android Developer with 8 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2016. Published multiple apps on Google Play Store."
Python Developer,"Python Developer with 8 years experience. Python, Django, Flask, FastAPI, REST API, SQL, PostgreSQL, MongoDB, Redis, Docker, AWS, Git, Celery, NumPy, Pandas. B.Tech CSE 2019. Built and maintained scalable Python applications."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 4 years experience. B.Tech IT 2020."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 1 years experience. B.Tech IT 2016."
Android Developer,"Android Developer with 3 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2015. Published multiple apps on Google Play Store."
DevOps Engineer,"DevOps Engineer with 8 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2021. Automated infrastructure and deployment pipelines."
Data Analyst,"Data Analyst with 3 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2021. Analyzed large datasets and created dashboards for business insights."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 7 years experience. B.Tech CSE 2019."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 5 years experience. B.Tech 2023."
SQL Developer,"SQL Developer with 6 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2019."
Testing,"QA Engineer with 3 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2019."
Testing,"Software Test Engineer. Skills: Selenium, Python, Java, TestNG, API Testing, Postman, JIRA, Git, Agile, Performance Testing, JMeter, Manual Testing. 4 years. B.Tech IT 2017."
SQL Developer,"Database Developer and Administrator. Skills: SQL, MySQL, Oracle, PostgreSQL, MongoDB, ETL, Data Warehousing, Stored Procedures, Indexing, Query Optimization, Power BI, Excel. 3 years. MCA 2018."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 4 years experience. MCA 2023."
DevOps Engineer,"DevOps Engineer with 7 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2022. Automated infrastructure and deployment pipelines."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 7 years experience. B.Tech CSE 2015."
Data Analyst,"Business Data Analyst with 1 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2019. Delivered actionable insights to stakeholders through reports and dashboards."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 3 years experience. B.Tech CSE 2023."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 6 years experience. B.Tech IT 2016."
Java Developer,"Java Developer with 4 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2016. Built enterprise-level backend systems."
Data Analyst,"Data Analyst with 2 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2021. Analyzed large datasets and created dashboards for business insights."
Data Analyst,"Business Data Analyst with 5 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2016. Delivered actionable insights to stakeholders through reports and dashboards."
DevOps Engineer,"DevOps Engineer with 2 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2023. Automated infrastructure and deployment pipelines."
Java Developer,"Java Developer with 5 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2017. Built enterprise-level backend systems."
SQL Developer,"Database Developer and Administrator. Skills: SQL, MySQL, Oracle, PostgreSQL, MongoDB, ETL, Data Warehousing, Stored Procedures, Indexing, Query Optimization, Power BI, Excel. 1 years. MCA 2018."
Android Developer,"Android Developer with 5 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2022. Published multiple apps on Google Play Store."
Data Analyst,"Data Analyst with 5 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2015. Analyzed large datasets and created dashboards for business insights."
Python Developer,"Python Developer with 6 years experience. Python, Django, Flask, FastAPI, REST API, SQL, PostgreSQL, MongoDB, Redis, Docker, AWS, Git, Celery, NumPy, Pandas. B.Tech CSE 2022. Built and maintained scalable Python applications."
SQL Developer,"SQL Developer with 8 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2016."
Data Analyst,"Data Analyst with 7 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2017. Analyzed large datasets and created dashboards for business insights."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 2 years experience. B.Tech IT 2016."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 2 years experience. B.Tech 2022."
Data Analyst,"Business Data Analyst with 5 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2023. Delivered actionable insights to stakeholders through reports and dashboards."
Testing,"Software Test Engineer. Skills: Selenium, Python, Java, TestNG, API Testing, Postman, JIRA, Git, Agile, Performance Testing, JMeter, Manual Testing. 3 years. B.Tech IT 2018."
Data Science,"Experienced Data Scientist with 4 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2016. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Testing,"QA Engineer with 8 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2019."
Web Developer,"Full Stack Web Developer with 4 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2023. Built scalable web applications and RESTful APIs."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 4 years experience. B.Tech IT 2018."
Web Developer,"Frontend Developer with 5 years experience. Skills: HTML, CSS, JavaScript, TypeScript, React, Angular, Vue, Bootstrap, Tailwind, jQuery, Git, GitHub, Webpack, REST API, Node.js, MongoDB. B.Tech Computer Science 2018. Designed responsive and user-friendly web interfaces."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 5 years experience. MCA 2022."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 5 years experience. B.Tech CSE 2020."
Android Developer,"Android Developer with 4 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2017. Published multiple apps on Google Play Store."
Machine Learning Engineer,"ML Engineer with 5 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2020. Designed and deployed ML models at scale."
Data Science,"Data Scientist with 1 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2022. Experience in building end-to-end ML pipelines and deploying models to production."
Data Science,"Data Scientist with 1 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2016. Experience in building end-to-end ML pipelines and deploying models to production."
Data Science,"Experienced Data Scientist with 5 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2017. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 7 years experience. B.Tech CSE 2022."
Data Analyst,"Data Analyst with 5 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2018. Analyzed large datasets and created dashboards for business insights."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 8 years experience. B.Tech IT 2022."
DevOps Engineer,"DevOps Engineer with 8 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2022. Automated infrastructure and deployment pipelines."
